Number,definition,transliteration,no vowels,vowels,Vocab (List),Audio
1,of / belongs to,shel,של,שֶׁל,,
2,you (f.s.),at,את,אַתְּ,,
2,the (direct object),et,את,אֶת,,
3,on / about / top,al,על,עַל,,
4,no,lo,לא,לֹא,,
5,he,hu,הוא,הוּא,,
6,with,im,עם,עִם,,
6,people / nation,am,עם,עַם,,
7,because,ki,כי,כִּי,,
8,was (m.s.),haya,היה,הָיָה,,
9,this / that,ze,זה,זֶה,,
10,also / too,gam,גם,גַּם,,
11,in,be,ב,בְּ,,
12,all,kol,כל,כֹּל,,
13,the,ha,ה,הַ,,
14,between / among,bein,בין,בֵּין,,
14,within,bin,בין,בֵּין,,
15,or,o,או,אוֹ,,
16,to / God,el,אל,אֶל,,
16,don't,al,אל,אַל,,
17,but / hardly,akh,אך,אַךְ,,
18,more,yoter,יותר,יוֹתֵר,,
19,she,hi,היא,הִיא,,
20,after,le'akhar,לאחר,לְאַחַר,,
20,to be late,le'akher,לאחר,לְאַחֵר,,
20,to/for the other,la'akher,לאחר,לְאַחֵר,,
21,but,aval,אבל,אֲבָל,,
21,mourning,evel,אבל,אֵבֶל,,
21,mourner,avel,אבל,אָבֵל,,
22,to,le,ל,לְ,,
22,to the,la,ל,לָ,,
23,were (m.),hayu,היו,הָיוּ ,,
24,until / eternity,ad,עד,עַד,,
24,witness,ed,עד,עֵד,,
25,this (f.),zo,זו,זוֹ,,
26,they (m.),hem,הם,הֵם,,
27,that / which,asher,אשר,אֲשֶׁר,,
28,she was,haita,הייתה,הָיְתָה,,
29,in the year [X] / in the year of,bishnat,בשנת,בִּשְׁנַת,,
30,so / like this / thus,kakh,כך,כָּךְ,,
31,only,rak,רק,רַק,,
32,also / even / nose,af,אף,אַף,,
33,"most, very much",beyoter,ביותר,בְּיוֹתֵר,,
34,I / me,ani,אני,אֲנִי,,
35,more,od,עוד,עוֹד,,
35,musical instrument,ud,עוד,עוּד ,,
36,many,rabim,רבים,רַבִּים,,
36,fighting (m.pl.),ravim,רבים,רָבִים,,
37,like / as,kmo,כמו,כְּמוֹ,,
38,home / house,bayit,בית,בַּיִת,,
39,if,im,אם,אִם,,
39,mother,em,אם,אֵם,,
40,this (f.),zot,זאת,זֹאת,,
41,there,sham,שם,שָׁם,,
41,name,shem,שם,שֵׁם,,
42,there is / one must,yesh,יש,יֵשׁ,,
43,what,ma,מה,מָה,,
44,to me / for me,li,לי,לִי,,
45,yes / sincere,ken,כן,כֵּן,,
45,"stand (n.), base, pedestal",kan,כן,כַּן,,
46,like / as / approximately,ke,כ,כְּ,,
47,to him,lo,לו,לוֹ,,
47,if (wishing),lu,לו,לוּ,,
48,number,mispar,מספר,מִסְפָּר ,,
48,tell (m.s.) / narrator,mesaper,מספר,מְסַפֵּר,,
49,in him / in it,bo,בו,בּוֹ,,
50,the city,ha'ir,העיר,הָעִיר,,
50,made a comment / woke someone up (m.s.),he'ir,העיר,הֵעִיר,,
51,from,mi,מ,מִ,,
52,"in order to / according to the measure of, about ",kedei,כדי,כְּדֵי,,
53,him / it,oto,אותו,אוֹתוֹ,,
54,thing / matter / something / word / speech / saying / command / to speak / to say,davar,דבר,דָּבָר,,
54,plague,dever,דבר,דֶּבֶר,,
54,speak (m.s. imperative),daber,דבר,דַּבֵּר!‏,,
55,and,ve,ו,וְ,,
55,and,u,ו,וּ,,
56,in all / at all,bekhol,בכל,בְּכָל,,
57,these,elu,אלו,אֵלּוּ ,,
58,second,sheni,שני,שֵׁנִי,,
58,two,shnei,שני,שְׁנֵי,,
58,scarlet,shani,שני,שָׁנִי,,
59,these,ele,אלה,אֵלֶּה,,
59,goddess,ela,אלה,אֵלָה,,
59,bat / cudgel / club,ala,אלה,אַלָּה,,
60,when / while,ka'asher,כאשר,כַּאֲשֶׁר,,
61,there is no,ein,אין,אֵין,,
61,nothing / naught / where,ain,אין,אַיִן,,
62,said (m.s.),amar,אמר,אָמַר,,
63,in a way,beofen,באופן,בְּאֹפֶן,,
64,the pact / the alliance / the covenant / the circumcision,habrit,הברית, הַבְּרִית,,
65,from,min,מן,מִן,,
66,that [is] not,shelo,שלא,שֶׁלֹּא,,
67,my hands,yadai,ידי,יָדַי,,
67,my hand,yadi,ידי,יָדִי,,
67,the hands of,yedei,ידי,יְדֵי,,
68,before / in front of / ago,lifnei,לפני,לִפְנֵי,,
69,they (f.),hen,הן,הֵן,,
70,the world,ha'olam,העולם,הָעוֹלָם,,
71,my mouth / multiplied by,pi,פי,פִּי,,
72,during / over the course of,bemahalakh,במהלך,בְּמַהֲלַךְ,,
